StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,Year3_Reading_At_Risk
793539920,20,24,31,32,29,29,36,37,5,5,3,3,4,5,2,4,5.50,Male,1,0,0,0,0,0,2,2,95,95,2,1,1,2018,FALSE
550065192,22,23,26,29,32,32,39,47,3,4,2,2,1,2,2,2,5.37,Female,1,0,0,0,0,0,2,1,114,114,2,1,1,2020,FALSE
181544661,26,30,29,28,31,31,47,48,1,4,1,2,3,3,2,2,6.07,Female,1,0,0,0,0,0,2,2,109,109,2,2,2,2020,FALSE
351553699,5,12,18,18,17,23,9,34,1,3,0,1,1,1,2,2,5.48,Female,1,0,0,0,0,0,3,2,98,98,2,1,0,2017,TRUE
458666003,5,8,21,25,21,27,21,22,1,3,0,2,1,0,0,2,5.09,Female,1,0,0,0,0,0,2,1,93,93,2,1,1,2020,TRUE
717844892,8,10,21,19,17,26,28,33,2,3,1,1,1,2,0,2,5.50,Female,1,0,0,0,0,0,2,2,105,105,0,0,0,2020,FALSE
970104490,11,17,25,25,24,25,29,29,2,3,2,2,2,4,2,2,5.48,Male,0,1,0,0,0,0,2,1,95,95,2,1,1,2017,FALSE
492396580,31,30,30,28,30,30,22,32,3,3,2,2,3,2,2,2,5.64,Female,1,0,0,0,0,0,1,1,107,107,0,0,0,2017,FALSE
182484108,25,23,29,34,31,31,51,45,2,1,1,1,1,3,2,2,4.58,Female,1,0,0,0,0,0,1,1,95,93,0,0,0,2021,FALSE
878033251,9,13,21,22,26,28,23,31,2,2,1,2,1,1,0,2,5.16,Female,1,0,0,0,0,0,2,1,88,88,1,1,0,2018,FALSE
372335068,28,24,24,27,29,30,12,48,4,5,3,4,4,4,2,3,5.62,Male,0,1,0,0,0,0,1,1,91,91,2,0,0,2020,FALSE
179671693,13,14,16,20,21,25,14,26,2,2,1,1,1,1,0,2,5.30,Male,1,0,0,0,0,0,2,2,97,97,2,1,0,2017,FALSE
875279737,14,21,27,27,30,28,7,30,2,4,1,2,0,2,1,2,5.02,Female,1,0,0,0,0,0,2,2,95,95,2,2,2,2020,FALSE
919744899,12,15,19,17,25,26,20,25,1,4,1,2,1,2,2,2,5.54,Male,1,0,0,0,0,0,3,1,95,95,2,1,0,2018,FALSE
329243759,15,17,20,22,26,24,27,40,1,3,1,2,2,4,2,2,5.25,Male,1,0,0,0,0,0,2,1,104,104,2,2,2,2020,FALSE
544014395,16,23,30,30,31,31,33,33,2,5,1,2,2,4,0,2,5.13,Male,1,0,0,0,0,0,2,2,97,97,2,2,0,2017,FALSE
513068878,12,13,21,20,23,30,12,14,2,2,1,1,1,2,1,2,4.84,Female,0,1,0,0,0,1,2,1,99,99,2,0,0,2020,FALSE
441123075,10,12,19,19,25,28,14,35,3,2,2,2,3,2,0,2,5.16,Female,0,1,0,0,0,0,3,1,95,95,1,0,0,2018,FALSE
578363755,8,11,20,24,24,26,9,36,0,2,1,2,2,1,0,2,6.15,Male,1,0,0,0,0,0,1,1,112,112,2,0,1,2020,FALSE
